platform,video_id,video_url,video_title,video_core_content,video_target_sentiment,video_cultural_context,uploader,upload_date,view_count,like_count,comment_count,share_count,duration_seconds,comment_id,comment_author,comment_author_id,comment_like_count,comment_reply_count,comment_create_time,index_goc,comment
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,1648.0,bác pi cát xô là bạn của bác hồ
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,1649.0,cấm sừng nhiều thế
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,1650.0,cho ai chưa biết thì những người đó đều là nicki minaj nhé
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,1651.0,tên bài nhạc là gì vậy mọi người
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,1652.0,picasso năm 10 14t đẹp trai vãi
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,1654.0,đọc cái tên kiểu gì thế
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,1655.0,oát đờ cái tên khai sinh
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,1656.0,fuck boy nhưng là hoạ sĩ
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,1657.0,pacasso chúa tể cắm sừng
youtube,HyDxRTBnwNM,https://www.youtube.com/watch?v=HyDxRTBnwNM,Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô,"Kể về cuộc đời, sự nghiệp nghệ thuật và những mối tình phức tạp của danh họa Pablo Picasso theo phong cách hài hước, châm biếm.",neutral,,,,,,,,,,,,,,,1658.0,chúa tể cắm sừng à :face_with_tears_of_joy:
